period_end,fund_code,fund_name,category,category_label,holder_shares,holder_shares_100m,holder_ratio_pct,precision_status,total_shares,report_send_date,official_upload_date,instance_id,source_kind,holder_table_page,official_pdf_url,crosscheck_url
2013-06-30,510310,易方达沪深300ETF,other_institution,其他机构（含保险）,3168337516.17,31.683375,31.185062,includes_unidentified_national_team,10159792154.07,2013-08-28,2013-08-28,manager_official_pdf-510310-2013-06-30,manager_official_pdf,46,https://cdn.efunds.com.cn/owch/data/2013/08/20130827174439_0_26.pdf,https://www.efunds.com.cn/c/161/161693.shtml
2013-06-30,510310,易方达沪深300ETF,individual,个人,6991454637.90,69.914546,68.814938,exact,10159792154.07,2013-08-28,2013-08-28,manager_official_pdf-510310-2013-06-30,manager_official_pdf,46,https://cdn.efunds.com.cn/owch/data/2013/08/20130827174439_0_26.pdf,https://www.efunds.com.cn/c/161/161693.shtml
2013-06-30,510330,华夏沪深300ETF,national_team,国家队（已识别）,774276360,7.742764,9.136382,lower_bound,8474649828,2013-08-26,2013-08-26,public_report_mirror-510330-2013-06-30,public_report_mirror,45,https://pdf.dfcfw.com/pdf/H2_AN201308260004263712_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201308260004263712.html"
2013-06-30,510330,华夏沪深300ETF,other_institution,其他机构（含保险）,144754781,1.447548,1.708092,upper_bound,8474649828,2013-08-26,2013-08-26,public_report_mirror-510330-2013-06-30,public_report_mirror,45,https://pdf.dfcfw.com/pdf/H2_AN201308260004263712_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201308260004263712.html"
2013-06-30,510330,华夏沪深300ETF,individual,个人,30254809,0.302548,0.357004,exact,8474649828,2013-08-26,2013-08-26,public_report_mirror-510330-2013-06-30,public_report_mirror,45,https://pdf.dfcfw.com/pdf/H2_AN201308260004263712_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201308260004263712.html"
2013-06-30,159919,嘉实沪深300ETF,national_team,国家队（已识别）,,,,not_identified,12655006477.00,2013-08-26,2013-08-26,public_report_mirror-159919-2013-06-30,public_report_mirror,43,https://pdf.dfcfw.com/pdf/H2_AN201308250004259404_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=535050796f2f4f67646a4d3d
2013-06-30,159919,嘉实沪深300ETF,other_institution,其他机构（含保险）,1523996321.00,15.239963,12.042636,includes_unidentified_national_team,12655006477.00,2013-08-26,2013-08-26,public_report_mirror-159919-2013-06-30,public_report_mirror,43,https://pdf.dfcfw.com/pdf/H2_AN201308250004259404_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=535050796f2f4f67646a4d3d
2013-06-30,159919,嘉实沪深300ETF,individual,个人,1185123426.00,11.851234,9.364858,exact,12655006477.00,2013-08-26,2013-08-26,public_report_mirror-159919-2013-06-30,public_report_mirror,43,https://pdf.dfcfw.com/pdf/H2_AN201308250004259404_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=535050796f2f4f67646a4d3d
2013-06-30,159915,易方达创业板ETF,national_team,国家队（已识别）,,,,not_identified,615454936,2013-08-28,2013-08-28,manager_official_pdf-159915-2013-06-30,manager_official_pdf,40,https://cdn.efunds.com.cn/owch/data/2013/08/20130827174347_0_16.pdf,https://www.efunds.com.cn/c/161/161683.shtml
2013-06-30,159915,易方达创业板ETF,other_institution,其他机构（含保险）,78071506,0.780715,12.685170,includes_unidentified_national_team,615454936,2013-08-28,2013-08-28,manager_official_pdf-159915-2013-06-30,manager_official_pdf,40,https://cdn.efunds.com.cn/owch/data/2013/08/20130827174347_0_16.pdf,https://www.efunds.com.cn/c/161/161683.shtml
2013-06-30,159915,易方达创业板ETF,individual,个人,213159912,2.131599,34.634528,exact,615454936,2013-08-28,2013-08-28,manager_official_pdf-159915-2013-06-30,manager_official_pdf,40,https://cdn.efunds.com.cn/owch/data/2013/08/20130827174347_0_16.pdf,https://www.efunds.com.cn/c/161/161683.shtml
2013-12-31,510300,华泰柏瑞沪深300ETF,national_team,国家队（已识别）,1274024331.00,12.740243,21.066653,lower_bound,6047587690,2014-03-26,2014-03-26,manager_official_pdf-510300-2013-12-31,manager_official_pdf,57,https://www.huatai-pb.com/data/20140326102454301.pdf,https://www.huatai-pb.com/news/information/fundReport/index.html
2013-12-31,510300,华泰柏瑞沪深300ETF,other_institution,其他机构（含保险）,3827198071.00,38.271981,63.284706,upper_bound,6047587690,2014-03-26,2014-03-26,manager_official_pdf-510300-2013-12-31,manager_official_pdf,57,https://www.huatai-pb.com/data/20140326102454301.pdf,https://www.huatai-pb.com/news/information/fundReport/index.html
2013-12-31,510300,华泰柏瑞沪深300ETF,individual,个人,900428988,9.004290,14.889060,exact,6047587690,2014-03-26,2014-03-26,manager_official_pdf-510300-2013-12-31,manager_official_pdf,57,https://www.huatai-pb.com/data/20140326102454301.pdf,https://www.huatai-pb.com/news/information/fundReport/index.html
2013-12-31,510310,易方达沪深300ETF,national_team,国家队（已识别）,,,,not_identified,6114107358.00,2014-03-28,2014-03-28,manager_official_pdf-510310-2013-12-31,manager_official_pdf,51,https://cdn.efunds.com.cn/owch/data/2014/03/20140327203501_0_30.pdf,https://www.efunds.com.cn/c/162/162663.shtml
2013-12-31,510310,易方达沪深300ETF,other_institution,其他机构（含保险）,906615543.00,9.066155,14.828257,includes_unidentified_national_team,6114107358.00,2014-03-28,2014-03-28,manager_official_pdf-510310-2013-12-31,manager_official_pdf,51,https://cdn.efunds.com.cn/owch/data/2014/03/20140327203501_0_30.pdf,https://www.efunds.com.cn/c/162/162663.shtml
2013-12-31,510310,易方达沪深300ETF,individual,个人,61246110.00,0.612461,1.001718,exact,6114107358.00,2014-03-28,2014-03-28,manager_official_pdf-510310-2013-12-31,manager_official_pdf,51,https://cdn.efunds.com.cn/owch/data/2014/03/20140327203501_0_30.pdf,https://www.efunds.com.cn/c/162/162663.shtml
2013-12-31,510330,华夏沪深300ETF,national_team,国家队（已识别）,888470969,8.884710,11.132954,lower_bound,7980549828,2014-03-26,2014-03-26,public_report_mirror-510330-2013-12-31,public_report_mirror,51,https://pdf.dfcfw.com/pdf/H2_AN201403250005314869_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201403250005314869.html"
2013-12-31,510330,华夏沪深300ETF,other_institution,其他机构（含保险）,126376163,1.263762,1.583552,upper_bound,7980549828,2014-03-26,2014-03-26,public_report_mirror-510330-2013-12-31,public_report_mirror,51,https://pdf.dfcfw.com/pdf/H2_AN201403250005314869_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201403250005314869.html"
2013-12-31,510330,华夏沪深300ETF,individual,个人,39315781,0.393158,0.492645,exact,7980549828,2014-03-26,2014-03-26,public_report_mirror-510330-2013-12-31,public_report_mirror,51,https://pdf.dfcfw.com/pdf/H2_AN201403250005314869_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201403250005314869.html"
2013-12-31,159919,嘉实沪深300ETF,national_team,国家队（已识别）,,,,not_identified,11751406477,2014-03-26,2014-03-26,public_report_mirror-159919-2013-12-31,public_report_mirror,53,https://pdf.dfcfw.com/pdf/H2_AN201404010005359012_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=2b6b557848717a6e4366553d
2013-12-31,159919,嘉实沪深300ETF,other_institution,其他机构（含保险）,1156079375,11.560794,9.837796,includes_unidentified_national_team,11751406477,2014-03-26,2014-03-26,public_report_mirror-159919-2013-12-31,public_report_mirror,53,https://pdf.dfcfw.com/pdf/H2_AN201404010005359012_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=2b6b557848717a6e4366553d
2013-12-31,159919,嘉实沪深300ETF,individual,个人,1006381947,10.063819,8.563928,exact,11751406477,2014-03-26,2014-03-26,public_report_mirror-159919-2013-12-31,public_report_mirror,53,https://pdf.dfcfw.com/pdf/H2_AN201404010005359012_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=2b6b557848717a6e4366553d
2013-12-31,159915,易方达创业板ETF,national_team,国家队（已识别）,,,,not_identified,863454936,2014-03-28,2014-03-28,manager_official_pdf-159915-2013-12-31,manager_official_pdf,47,https://cdn.efunds.com.cn/owch/data/2014/03/20140327202729_0_16.pdf,https://www.efunds.com.cn/c/162/162649.shtml
2013-12-31,159915,易方达创业板ETF,other_institution,其他机构（含保险）,93734889,0.937349,10.855794,includes_unidentified_national_team,863454936,2014-03-28,2014-03-28,manager_official_pdf-159915-2013-12-31,manager_official_pdf,47,https://cdn.efunds.com.cn/owch/data/2014/03/20140327202729_0_16.pdf,https://www.efunds.com.cn/c/162/162649.shtml
2013-12-31,159915,易方达创业板ETF,individual,个人,255884433,2.558844,29.634949,exact,863454936,2014-03-28,2014-03-28,manager_official_pdf-159915-2013-12-31,manager_official_pdf,47,https://cdn.efunds.com.cn/owch/data/2014/03/20140327202729_0_16.pdf,https://www.efunds.com.cn/c/162/162649.shtml
2014-06-30,510300,华泰柏瑞沪深300ETF,national_team,国家队（已识别）,2071621305.00,20.716213,25.616724,lower_bound,8086987690,2014-08-25,2014-08-25,manager_official_pdf-510300-2014-06-30,manager_official_pdf,49,https://www.huatai-pb.com/data/20140825093813300.pdf,https://www.huatai-pb.com/news/information/fundReport/index.html
2014-06-30,510300,华泰柏瑞沪深300ETF,other_institution,其他机构（含保险）,4997886370.00,49.978864,61.801583,upper_bound,8086987690,2014-08-25,2014-08-25,manager_official_pdf-510300-2014-06-30,manager_official_pdf,49,https://www.huatai-pb.com/data/20140825093813300.pdf,https://www.huatai-pb.com/news/information/fundReport/index.html
