date,code,shares_100m,exchange,source
2016-08-25,159919,48.268064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-08-25,510300,55.948877,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-25,510310,27.123074,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-25,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-26,159919,48.268064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-08-26,510300,55.966877,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-26,510310,27.123074,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-26,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-29,159919,48.277064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-08-29,510300,55.732877,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-29,510310,27.123074,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-29,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-30,159919,48.250064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-08-30,510300,55.390877,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-30,510310,27.103074,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-30,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-31,159919,48.232064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-08-31,510300,55.309877,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-31,510310,27.103074,上交所,https://query.sse.com.cn/commonQuery.do
2016-08-31,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-01,159919,48.196064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-01,510300,55.237877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-01,510310,27.103074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-01,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-02,159919,48.205064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-02,510300,55.093877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-02,510310,27.103074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-02,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-05,159919,48.205064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-05,510300,54.652877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-05,510310,27.103074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-05,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-06,159919,48.205064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-06,510300,54.310877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-06,510310,27.103074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-06,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-07,159919,48.169064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-07,510300,55.138877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-07,510310,27.103074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-07,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-08,159919,48.097064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-08,510300,55.345877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-08,510310,27.103074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-08,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-09,159919,48.025064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-09,510300,55.930877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-09,510310,27.103074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-09,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-12,159919,48.025064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-12,510300,56.785877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-12,510310,27.103074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-12,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-13,159919,48.016064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-13,510300,56.983877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-13,510310,27.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-13,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-14,159919,47.998064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-14,510300,57.100877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-14,510310,27.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-14,510330,46.352498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-19,159919,47.908064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-19,510300,56.668877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-19,510310,27.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-19,510330,46.353244,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-20,159919,47.863064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-20,510300,56.488877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-20,510310,27.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-20,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-21,159919,47.809064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-21,510300,56.443877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-21,510310,27.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-21,510330,46.361498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-22,159919,47.746064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-22,510300,56.218877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-22,510310,27.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-22,510330,46.334498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-23,159919,47.683064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-23,510300,56.371876,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-23,510310,27.083074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-23,510330,46.334498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-26,159919,47.647064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-26,510300,57.289868,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-26,510310,27.063074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-26,510330,46.350992,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-27,159919,47.647064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-27,510300,57.701637,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-27,510310,27.043074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-27,510330,46.352498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-28,159919,47.638064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-28,510300,57.712877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-28,510310,27.043074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-28,510330,46.352498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-29,159919,47.638064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-29,510300,57.973877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-29,510310,27.043074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-29,510330,46.352498,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-30,159919,47.638064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-09-30,510300,58.009877,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-30,510310,27.043074,上交所,https://query.sse.com.cn/commonQuery.do
2016-09-30,510330,46.352498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-10,159919,47.638064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-10,510300,58.630877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-10,510310,27.023074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-10,510330,46.352498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-11,159919,47.638064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-11,510300,58.567877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-11,510310,27.023074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-11,510330,46.348015,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-12,159919,47.602064,深交所,https://www.szse.cn/api/report/ShowReport/data
